Player,Simplified Pos,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Per 90 Minutes Gls,Expected xG,Per 90 Minutes Ast,Per 90 Minutes xG
Julián Álvarez,Midfielder,8.0,5.0,1.0,1.0,0.39,8.4,0.24,0.41
Kyle Walker,Defender,0.0,2.0,0.0,0.0,0.0,0.3,0.1,0.01
Ederson,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Foden,Midfielder,8.0,7.0,0.0,0.0,0.41,5.4,0.36,0.28
Rodri,Midfielder,5.0,3.0,0.0,0.0,0.28,2.6,0.17,0.15
Bernardo Silva,Midfielder,6.0,4.0,0.0,0.0,0.36,2.2,0.24,0.13
Rúben Dias,Defender,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.04
Joško Gvardiol,Defender,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06
Erling Haaland,Forward,14.0,5.0,3.0,4.0,0.9,15.7,0.32,1.01
Nathan Aké,Defender,2.0,1.0,0.0,0.0,0.14,1.5,0.07,0.11
Manuel Akanji,Defender,2.0,0.0,0.0,0.0,0.14,0.6,0.0,0.04
Jeremy Doku,Defender,2.0,5.0,0.0,0.0,0.2,1.1,0.51,0.11
Mateo Kovačić,Midfielder,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.08
Jack Grealish,Forward,3.0,1.0,0.0,0.0,0.38,1.9,0.13,0.24
John Stones,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rico Lewis,Defender,1.0,0.0,0.0,0.0,0.2,0.3,0.0,0.06
Matheus Nunes,Midfielder,0.0,2.0,0.0,0.0,0.0,0.4,0.47,0.08
Kevin De Bruyne,Midfielder,1.0,3.0,0.0,0.0,0.44,0.4,1.32,0.18
Stefan Ortega,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscar Bobb,Midfielder,1.0,1.0,0.0,0.0,0.76,1.0,0.76,0.79
Kalvin Phillips,Midfielder,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07
Sergio Gómez,Forward,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0
Aymeric Laporte,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Cole Palmer,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mcatee,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
